Human Settlements,Information & Communications Technology ,Having a cellular phone from the Gallup World Poll,
Human Settlements,Information & Communications Technology ,Access to internet at home from the Gallup World Poll,
Human Settlements,Information & Communications Technology ,Having a computer at home from the Gallup World Poll,
Human Settlements,Information & Communications Technology ,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill from the UN SDG Indicators",
Work,Workplace Governance,Diversity of governance bodies and employees (from the Global Reporting Initiative),
Work,Workplace Governance,"Identifying and managing economic, environmental, and social impacts (from the Global Reporting Initiative)",
Work,Workplace Governance,"Operations with local community engagement, impact assessments, and development programs (from the Global Reporting Initiative)",
Work,Workplace Governance,Operations that have been subject to human rights reviews or impact assessments (from the Global Reporting Initiative),
Work,Workplace Governance,Mechanisms for advice and concerns about ethics (from the Global Reporting Initiative),
Work,Workplace Governance,Communication and training about anti-corruption policies and procedures (from the Global Reporting Initiative),
Work,Workplace Environment,Satisfaction with job from General Social Survey 2010 quality of work life module.,
Work,Workplace Environment,Sense that current work life is interesting (from General Social Survey Round 3),
Work,Workplace Environment,Sense that one achieves important work goals (from Workplace PERMA profiler),
Work,Workplace Environment,Sense that work is purposeful and meaningful (from Workplace PERMA profiler),
Work,Workplace Environment,Sense of feeling appreciated by co-workers (from Workplace PERMA profiler),
Work,Workplace Environment,Satisfaction with opportunities for professional development and promotion in ones current primary job (from the World Values Survey Wave 6),
Work,Workplace Environment,Sense that the conditions of one’s job allows one to be about as productive as one could be )from The National Institute for Occupational Safety and Health [NIOSH]),
Work,Workplace Environment,Sense of independence one has in performing tasks at work from the World Values Survey Wave 6,
Work,Workplace Environment,Workers representation in formal joint management–worker health and safety committees (from the Global Reporting Initiative),
Work,Workplace Environment,Satisfaction with salary and benefits in current primary job (from World Values Survey Wave 6),
Work,Workplace Environment,Ratio of basic salary and remuneration of women to men (from the Global Reporting Initiative),
Work,Workplace Environment,"Expected earnings loss, measured as the percentage of the previous earnings, associated with unemployment (from the OECD Better Life Index)",
Work,Workplace Environment,Percentage of employees receiving regular performance and career development reviews (from Global Reporting Initiative),
Work,Workplace Environment,Average hours of training per year per employee (from Global Reporting Initiative),
Work,Workplace Environment,"Types of injury and rates of injury, occupational diseases, lost days, and absenteeism, and number of work-related fatalities (from the Global Reporting Initiative)",
Work,Work Life Balance,Satisfaction with the balance between the time spent on the job and the time spent on other aspects of life (form the European Social Survey Round 5),
Work,Work Life Balance,Proportion of dependent employed whose usual hours of work per week are 50 hours or more (from OECD Better Life Index),
Work,Work Life Balance,"Average amount of time spent on leisure time out of doors, away from home in previous 12 months (from UK ONS Measuring National Well-being: Domains and Measures)",
Work,Work Life Balance,Parental Leave from the Ratio of basic salary and remuneration of women to men (from the Global Reporting Initiative),
